title,listing_url,source_website,img_of_unit,days_ago_posted,post_updated,first_seen,last_seen,status,address,street_address,neighbourhood,city,province,price,bedrooms,bathrooms,square_feet,lot_size,property_type,post_description,move_in_date,security_deposit,min_rental_period,amenities,features,facilities,pet,appliances,parking,locker,smoking,agent_name,brokerage,listing_id,listing_hash,latitude,longitude,furnished,pets_allowed,utilities_included,description,is_active
Century - 1 Bedroom + Den Apartment for Rent,https://www.kijiji.ca/v-apartments-condos/vancouver/century-1-bedroom-den-apartment-for-rent/1737300245,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"250 EAST 15TH STREET, North Vancouver, BC, V7L 2R4",250 EAST 15TH STREET,North Vancouver,Vancouver,BC,2950,1.5,1,621,N/A,House,"Century by Cressey offers pet-friendly studio, one-, two-, and three-bedroom rental homes in the vibrant Central Lonsdale neighbourhood of North Vancouver. This building is a walker&apos;s paradise as the ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1737300245,bb78afdd1ee6ff944a30cef1e60af88e,N/A,N/A,N/A,N/A,N/A,N/A,1
1 Bedroom 1 Bathroom Apartment Downtown Vancouver Yaletown,https://www.kijiji.ca/v-apartments-condos/vancouver/1-bedroom-1-bathroom-apartment-downtown-vancouver-yaletown/1738773132,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Burnaby, BC V5E 3Z8",Burnaby,Burnaby,Vancouver,BC,3000,1,1,795,N/A,Apartment,"Very large and spacious 795 sqft, 1 Bedroom, 1 Bathroom apartment for rent. Located downtown Vancouver in the Yaletown neighborhood with lots of restaurants nearby. Unfurnished. Included: In-suite ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738773132,cce1f559d6e6a3c952e3e738b9069fbf,N/A,N/A,N/A,N/A,N/A,N/A,1
"304 629 COTTONWOOD AVENUE Coquitlam, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/304-629-cottonwood-avenue-coquitlam-british-columbia/1738759623,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"629 COTTONWOOD AVENUE, Coquitlam, BC, V3J0S5",629 COTTONWOOD AVENUE,Coquitlam,Vancouver,BC,3050,2,2,N/A,N/A,Apartment,"2 bedroom + den, 2 full bathroom condo located on the 3rd floor at Skylark in Coquitlam. Approximately 900 square ft with high ceilings, heat and air conditioning, and a large enclosed den (not a ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738759623,bc5a029978489268820290073346e53f,N/A,N/A,N/A,N/A,N/A,N/A,1
"1106 1289 HORNBY STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1106-1289-hornby-street-vancouver-british-columbia/1738759469,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1289 HORNBY STREET, Vancouver, BC, V6Z0G7",1289 HORNBY STREET,Vancouver,Vancouver,BC,2500,Studio/Bachelor,1,N/A,N/A,Basement Suite,"Welcome to Burrard Place, one of Vancouver&apos;s premier luxury residences. This brand-new studio suite offers 482 sq. ft. of thoughtfully designed living space in the heart of downtown Vancouver. ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738759469,994e4f5255cc495c819228afecf6adad,N/A,N/A,N/A,N/A,N/A,N/A,1
Pinnacle Living 1 BR APT Rental 304-1887 Crowe St Vancouver: VAD,https://www.kijiji.ca/v-apartments-condos/vancouver/pinnacle-living-1-br-apt-rental-304-1887-crowe-st-vancouver:-vad/1738038566,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1887 Crowe Street, Vancouver, BC, V5Y 0B4",1887 Crowe Street,Vancouver,Vancouver,BC,2500,1,1,592,N/A,Apartment,"Pinnacle Living 1 BR APT Rental 304-1887 Crowe St Vancouver: VADA Pinnacle Living is conveniently located across from the seawall, for walking, running, biking or rollerblading. This well-maintained ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738038566,6c58040685db48bc9097616130244162,N/A,N/A,N/A,N/A,N/A,N/A,1
1906-950 Cambie Street,https://www.kijiji.ca/v-apartments-condos/vancouver/1906-950-cambie-street/1738038567,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"950 Cambie Street, Vancouver, BC, V6B 5X5",950 Cambie Street,Cambie,Vancouver,BC,3800,2,2,1068,N/A,N/A,"1906-950 Cambie Street Welcome to Pacific Place Landmark Ι and ΙΙ! Nestled in Vancouver&apos;s vibrant Yaletown neighborhood, Pacific Place Landmark Ι and ΙΙ are two iconic residential towers located at ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738038567,9a66d51b6d38f3595a8f57ca76a350cd,N/A,N/A,N/A,N/A,N/A,N/A,1
Studio for Rent near VGH in Fairview,https://www.kijiji.ca/v-apartments-condos/vancouver/studio-for-rent-near-vgh-in-fairview/1737659100,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V6H 1R7",Vancouver,BC V6H 1R7,Vancouver,BC,1750,Studio/Bachelor,1,500,N/A,Studio,UNFURNISHED Studio for Rent near VGH at Oak &amp; 15th in Vancouver. -Available on July 1 -Private entrance. -Street parking. -Utilities and internet not included. -Laundromat is half a block away. -Non ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737659100,8fc08b3a7f6eaf4814b27cb6ecbae69c,N/A,N/A,N/A,N/A,N/A,N/A,1
3 bedroom 2 bath beautiful Yaletown condo with Terrace,https://www.kijiji.ca/v-apartments-condos/vancouver/3-bedroom-2-bath-beautiful-yaletown-condo-with-terrace/1738599323,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1009 Expo Blvd, Vancouver, BC",1009 Expo Blvd,Vancouver,Vancouver,BC,4950,3,2,1731,N/A,N/A,"Just listed for rent, over 1000 square-foot indoor 3-bedroom, 2-bath PLUS private 700 square foot patio terrace. It is fully furnished. • Large kitchen with 2 ovens. • Primary bedroom with queen size ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738599323,515fbcb2ebff896f77988b87b9a98f35,N/A,N/A,N/A,N/A,N/A,N/A,1
"New 1BR, 1 bath + den with A/C, parking, view available now!",https://www.kijiji.ca/v-apartments-condos/vancouver/new-1br-1-bath-den-with-a-c-parking-view-available-now/1736153218,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5N 0J5",Vancouver,BC V5N 0J5,Vancouver,BC,2300,1.5,1,692,N/A,Apartment,"Spacious, upscale condo built in 2024 at Popolo, a new development in Grandview-Woodland, just walking distance to Trout Lake and Commercial Drive. This air conditioned, 692 sq ft , 4th floor unit ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1736153218,f6ccac0348880e7ecc9d9fc8610fac0f,N/A,N/A,N/A,N/A,N/A,N/A,1
3 bed 2 bath nice &amp; bright house,https://www.kijiji.ca/v-apartments-condos/vancouver/3-bed-2-bath-nice-bright-house/1738751362,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"381 East 57th Avenue, Vancouver, BC",381 East 57th Avenue,Vancouver,Vancouver,BC,3350,3,2,1380,N/A,House,"Nice and clean 3 bedroom house in South Vancouver between Main and Fraser streets minutes from Langara college. Close to all amenities including shops, restaurants, bus stops and many more. This ...",N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738751362,b33b11c58b5887657fe09d788eb80cf5,N/A,N/A,N/A,N/A,N/A,N/A,1
Conveniently Located 2Br 2Ba With Nice Amenities,https://www.kijiji.ca/v-apartments-condos/vancouver/conveniently-located-2br-2ba-with-nice-amenities/1738239257,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5N 2T7",Vancouver,BC V5N 2T7,Vancouver,BC,3000,2,2,790,N/A,Apartment,"Light-filled, unfurnished 2 bedroom, 2 bathroom 790 sq.ft. living space with extended balcony located within Vancouver&apos;s Kensington Gardens community. Facing northwest on Kingsway, this corner unit ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738239257,8c3fe91f3ecf5612b6e01c4d3f63bde2,N/A,N/A,N/A,N/A,N/A,N/A,1
"FOR RENT - 1 Bed + Den, 1 Bath at Millennium Central Lonsdale",https://www.kijiji.ca/v-apartments-condos/vancouver/for-rent-1-bed-den-1-bath-at-millennium-central-lonsdale/1738745965,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5Z 2V5",Vancouver,BC V5Z 2V5,Vancouver,BC,3950,1.5,1,600,N/A,N/A,"Experience elevated living at Millennium Central Lonsdale in this brand-new 1 bedroom + den, 1 bathroom residence offering 600 sq ft of thoughtfully designed space in the heart of North Vancouver. ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738745965,34d43fd701a0a684eb6861988284376a,N/A,N/A,N/A,N/A,N/A,N/A,1
"2603 1255 SEYMOUR STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2603-1255-seymour-street-vancouver-british-columbia/1737200033,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1255 SEYMOUR STREET, Vancouver, BC, V6B0H1",1255 SEYMOUR STREET,Vancouver,Vancouver,BC,3800,2,2,N/A,N/A,Basement Suite,"Spacious 2 bedroom and 2 full bathroom suite high above the city on the 26th floor with amazing Southwest views of False Creek, English Bay &amp; the Downtown core. Finishings include a mix of cherry ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737200033,1372f5dc5373963cc3d20c9f6a0dc457,N/A,N/A,N/A,N/A,N/A,N/A,1
"110 1460 SOUTHVVIEW ST. Coquitlam, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/110-1460-southvview-st-coquitlam-british-columbia/1735599925,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1460 SOUTHVVIEW ST., Coquitlam, BC, V3E0G6",1460 SOUTHVVIEW ST.,Coquitlam,Vancouver,BC,4500,3,3,N/A,N/A,House,"Newly reno 3 bedroom 3 bathrooms town house, all rooms are available after Dec 1.2026. No Pets No Smoking! Please briefly introduce yourself by completing the attached pre-screening form and email it ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1735599925,5e99836b063afbe0db72180938ab3236,N/A,N/A,N/A,N/A,N/A,N/A,1
"2808 5665 BOUNDARY ROAD Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/2808-5665-boundary-road-vancouver-british-columbia/1735599673,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"5665 BOUNDARY ROAD, Vancouver, BC, V5R0E4",5665 BOUNDARY ROAD,Vancouver,Vancouver,BC,1900,1,1,N/A,N/A,N/A,"Ideally situated just a 2-minute walk (200 meters) from Joyce Station, commuting is effortless. The property is only a 9-minute drive to BCIT, 5 minutes to Metrotown, 10 minutes to Costco, 21 minutes ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1735599673,1a4189c7e61724b46b0fcedc5ccc7214,N/A,N/A,N/A,N/A,N/A,N/A,1
"503 71 E PENDER STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/503-71-e-pender-street-vancouver-british-columbia/1737189047,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"71 E PENDER STREET, Vancouver, BC, V6A1S9",71 E PENDER STREET,Vancouver,Vancouver,BC,2980,2,1,N/A,N/A,N/A,"Welcome to EAST, an exclusive Boutique concrete complex located in historic Chinatown/Gastown, featuring modern living in a vibrant Downtown District. Spacious South facing 2 bedroom 1 bathroom with ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737189047,5bbe06fa237ce9dba04730aad9adf502,N/A,N/A,N/A,N/A,N/A,N/A,1
"5832 LAUREL STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/5832-laurel-street-vancouver-british-columbia/1737188917,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"LAUREL STREET, Vancouver, BC, V5Z3W3",LAUREL STREET,Vancouver,Vancouver,BC,2400,2,1,N/A,N/A,Basement Suite,"2-bedroom ground floor suite in a 1-year-new duplex building, located in the sought-after Oakridge neighborhood. Features include: All appliances and fixtures in excellent condition, Bright and ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1737188917,1ed428c1d6b690e8bc081af6fe02b495,N/A,N/A,N/A,N/A,N/A,N/A,1
"47XX LITTLE ST VANCOUVER Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/47xx-little-st-vancouver-vancouver-british-columbia/1732780311,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"LITTLE ST VANCOUVER, Vancouver, BC, V5X2C6",LITTLE ST VANCOUVER,Vancouver,Vancouver,BC,2600,3,1,N/A,N/A,Basement Suite,"This functional upstairs suite on Victoria Dr &amp; Kingsway offers a peaceful residential retreat with easy access to the city. The suite features 3 bedrooms, a private bathroom, and its own kitchen ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1732780311,97ec9a53e02a4f7571550a03e16bfa97,N/A,N/A,N/A,N/A,N/A,N/A,1
Modern bachelor apartments at Yarrow and Aster East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/modern-bachelor-apartments-at-yarrow-and-aster-east-village/1726387902,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"435 Boundary Road, Vancouver, BC, V5K 0H6",435 Boundary Road,Vancouver,Vancouver,BC,1895,Studio/Bachelor,1,N/A,N/A,Apartment,Stylish Apartment Living at Yarrow &amp; Aster East VillageUp to Two Months Free Rent on Select Suites* Yarrow &amp; Aster East Village are located in the diverse community of Hastings-Sunrise of East ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1726387902,f738419ef9a19322e420d11a49e7cb51,N/A,N/A,N/A,N/A,N/A,N/A,1
Urban 2 bedroom apartments at Yarrow and Aster East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/urban-2-bedroom-apartments-at-yarrow-and-aster-east-village/1717483488,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"435 Boundary Road, Vancouver, BC, V5K 0H6",435 Boundary Road,Vancouver,Vancouver,BC,2865,2,2,N/A,N/A,Apartment,Stylish Apartment Living at Yarrow &amp; Aster East Village Up to Two Months Free Rent on Select Suites!* Yarrow &amp; Aster East Village are located in the diverse community of Hastings-Sunrise of East ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1717483488,357a3d092e7b706e2d845a81fcba46c7,N/A,N/A,N/A,N/A,N/A,N/A,1
Trendy 2 bedroom apartments at 388 Kaslo East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/trendy-2-bedroom-apartments-at-388-kaslo-east-village/1738540388,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"388 Kaslo Street, Vancouver, BC, V5K 0G6",388 Kaslo Street,Vancouver,Vancouver,BC,3275,2,2,N/A,N/A,Apartment,Stylish Living in East Village at Kaslo Apartments- Call Today! LIMITED TIME OFFER: $500 SECURITY DEPOSIT* 25% off TELUS OPTIK TV and INTERNET PRODUCTS MONTHLY* Kaslo Apartments in East Village ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1738540388,dcf65681af76aab9730745c7d5f0eaef,N/A,N/A,N/A,N/A,N/A,N/A,1
1 bedroom suite in White Rock at Bayview Gardens,https://www.kijiji.ca/v-apartments-condos/vancouver/1-bedroom-suite-in-white-rock-at-bayview-gardens/1714267188,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1371 Blackwood Street, White Rock, BC, V4B 3V2",1371 Blackwood Street,White Rock,Vancouver,BC,1955,1,1,N/A,N/A,Basement Suite,**Upgraded suites available which include high gloss white cabinetry and quartz countertops. In-suite laundry and hardwood flooring in select suites. Current incentives: $500 Security Deposit* $100 ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1714267188,8092c87e17dd59792e16affd953ffca5,N/A,N/A,N/A,N/A,N/A,N/A,1
Urban 1 bedroom apartments at Yarrow and Aster East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/urban-1-bedroom-apartments-at-yarrow-and-aster-east-village/1717483487,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"435 Boundary Road, Vancouver, BC, V5K 0H6",435 Boundary Road,Vancouver,Vancouver,BC,2155,1,1,N/A,N/A,Apartment,Stylish Apartment Living at Yarrow &amp; Aster East Village! Up to Two Months Free Rent on Select Suites* Yarrow &amp; Aster East Village are located in the diverse community of Hastings-Sunrise of East ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1717483487,c42dfe0ff4813d506c5e2b073868d4f1,N/A,N/A,N/A,N/A,N/A,N/A,1
Condo quality suites at Braemar Gardens Call for availability!,https://www.kijiji.ca/v-apartments-condos/vancouver/condo-quality-suites-at-braemar-gardens-call-for-availability/1733907277,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"1000 Brunette Avenue, Coquitlam, BC, V3K 1E3",1000 Brunette Avenue,Coquitlam,Vancouver,BC,1695,1,1,N/A,N/A,Apartment,FULLY RENOVATED CONDO QUALITY 1 BEDROOM APARTMENTS-CALL TODAY! Current Incentives: 1 Month FREE Rent (on a 13 month lease)* $500 Security Deposits* 25% off any Telus Optik TV and Internet Products ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1733907277,a031cee49163fcce31feb991102f4916,N/A,N/A,N/A,N/A,N/A,N/A,1
Stylish 1 bedroom apartments at 388 Kaslo East Village!,https://www.kijiji.ca/v-apartments-condos/vancouver/stylish-1-bedroom-apartments-at-388-kaslo-east-village/1717483502,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"388 Kaslo Street, Vancouver, BC, V5K 0G6",388 Kaslo Street,Vancouver,Vancouver,BC,2505,1,1,N/A,N/A,Apartment,Stylish Living in East Village at Kaslo Apartments- Call Today! LIMITED TIME OFFER: $500 SECURITY DEPOSIT* 25% off TELUS OPTIK TV and INTERNET PRODUCTS MONTHLY* Kaslo Apartments in East Village ...,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1717483502,b159c67caf88e4588bb09443e8606ed0,N/A,N/A,N/A,N/A,N/A,N/A,1
"Vancouver, Fully-Furnitured 2 bedroom + 2 baths suite, laneway",https://www.kijiji.ca/v-apartments-condos/vancouver/vancouver-fully-furnitured-2-bedroom-2-baths-suite-laneway/1738740706,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5M 1V6",Vancouver,BC V5M 1V6,Vancouver,BC,2580,2,2,685,N/A,House,"Laneway house to rent – 2 Bedrooms+2 Bathrooms -Bright and beautifully designed; -This newly refurbished, spacious 2 bedroom garden house is the perfect base for couples or small families looking to ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738740706,529da64da6b31b4c156dbcd650cee2f4,N/A,N/A,N/A,N/A,N/A,N/A,1
2bed/1bath for rent,https://www.kijiji.ca/v-apartments-condos/vancouver/2bed-1bath-for-rent/1738739994,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5R 5A5",Vancouver,BC V5R 5A5,Vancouver,BC,1850,2,1,1050,N/A,House,"Main floor in a renovated home, walking distance to Joyce skytrain station, coffee shops and restaurants. Available July 1st (or a few days earlier) $1,850 per month includes utilities and wifi. Can ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738739994,baab947606f43927e9972ec18e42a214,N/A,N/A,N/A,N/A,N/A,N/A,1
"1Brm +den apt with Patio, 6 appliances at Cambie-Broadway",https://www.kijiji.ca/v-apartments-condos/vancouver/1brm-den-apt-with-patio-6-appliances-at-cambie-broadway/1738737897,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"603 West 8th Avenue, Vancouver, BC",603 West 8th Avenue,Vancouver,Vancouver,BC,2495,1.5,1,650,N/A,N/A,"Prime Location — General Hospital Area Next to Downtown; one block from the Canada Line and on direct UBC bus routes. Steps from shopping, offices, banks, and minutes to Granville Island, parks, ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738737897,84a1538eb64b0f65fb4ffefb418895c2,N/A,N/A,N/A,N/A,N/A,N/A,1
One Bedroom Suite In Quiet Killarney Neighbourhood,https://www.kijiji.ca/v-apartments-condos/vancouver/one-bedroom-suite-in-quiet-killarney-neighbourhood/1738733127,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5S 2X2",Vancouver,BC V5S 2X2,Vancouver,BC,1500,1,1,500,N/A,Basement Suite,"One bedroom suite available in quiet Killarney neighbourhood. Includes Fridge, Stove, Washer &amp; Dryer. Includes Utilities. Ideal for a single person. This suite is close to Killarney Secondary School ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738733127,c179c324851f82a8d355994c72c85ee8,N/A,N/A,N/A,N/A,N/A,N/A,1
Large spacious private room by Langara College,https://www.kijiji.ca/v-apartments-condos/vancouver/large-spacious-private-room-by-langara-college/1738728911,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V5X 1A2",Vancouver,BC V5X 1A2,Vancouver,BC,800,1,1,100,N/A,Basement Suite,"Available from June 24th This is a private room in a 3 bedroom suite with a shared bathroom, share laundry and kitchen on the ground floor. Looking for long term tenant. Min 12 month lease. It is ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738728911,d5c156098583f07048b32dbe3365abb1,N/A,N/A,N/A,N/A,N/A,N/A,1
1 Bedroom Apartment for Rent - 130 Keith Rd W,https://www.kijiji.ca/v-apartments-condos/vancouver/1-bedroom-apartment-for-rent-130-keith-rd-w/1738726232,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"130 Keith Rd W, North Vancouver, BC, V7M 1L5",130 Keith Rd W,North Vancouver,Vancouver,BC,2618,1,1,743,N/A,Apartment,"Lamplighter Apartments is a few blocks north of the Londsdale Quay in North Vancouver. Known as the historical waterfront neighbourhood of North Vancouver, the subject is a few minutes walk to a wide ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738726232,68fe19de543d9390c8851e8c1cfd118a,N/A,N/A,N/A,N/A,N/A,N/A,1
Master Bedroom with Private Bath - Available Now!,https://www.kijiji.ca/v-apartments-condos/vancouver/master-bedroom-with-private-bath-available-now/1738727411,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"Vancouver, BC V6B 6N6",Vancouver,BC V6B 6N6,Vancouver,BC,2000,4,2,1000,N/A,Apartment,Ready to move in today! Enjoy a spacious master bedroom with a private bath in a well-maintained shared apartment. Perfect for anyone looking for both privacy and community. Key Features: Private ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738727411,8cfbf804fd1f5ed7636b53afe1a68098,N/A,N/A,N/A,N/A,N/A,N/A,1
607-251 East 7th Avenue,https://www.kijiji.ca/v-apartments-condos/vancouver/607-251-east-7th-avenue/1738704712,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"251 East 7th Avenue, Vancouver, BC, V5T 0B9",251 East 7th Avenue,Vancouver,Vancouver,BC,2500,1,1,638,N/A,N/A,"607-251 East 7th Avenue Welcome to The District! The District is a modern 9-storey concrete building developed by Amacon, located at 250 East 6th Avenue &amp; 251 East 7th Avenue in Vancouver’s vibrant ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738704712,8cca843cf7170fe1c94cc263791cbffc,N/A,N/A,N/A,N/A,N/A,N/A,1
Private Residences At Hotel Georgia 1 BR APT Rental 1904-667 How,https://www.kijiji.ca/v-apartments-condos/vancouver/private-residences-at-hotel-georgia-1-br-apt-rental-1904-667-how/1738711398,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"667 Howe Street, Vancouver, BC, V6C 0B5",667 Howe Street,Vancouver,Vancouver,BC,3200,1,1,666,N/A,Apartment,Private Residences At Hotel Georgia 1 BR APT Rental 1904-667 Howe St Vancouver: VADA Welcome to the Private Residence at Hotel Georgia. This premium building offers superior quality from the entry ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738711398,95be09cdf2165e1f64dcd4bc9f334827,N/A,N/A,N/A,N/A,N/A,N/A,1
"4XXX-3A W 28 AVENUE Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/4xxx-3a-w-28-avenue-vancouver-british-columbia/1738719111,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"W 28 AVENUE, Vancouver, BC, V6S1S7",W 28 AVENUE,Vancouver,Vancouver,BC,3800,3,2,N/A,N/A,House,Brand New 3-Bedroom Laneway House in Dunbar - Vancouver West Welcome to this brand-new upper-level laneway home located in the highly desirable Dunbar neighborhood of Vancouver West Vancouver. ...,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738719111,97e21c54e18aff29151961bf58154e46,N/A,N/A,N/A,N/A,N/A,N/A,1
"1702 777 RICHARDS STREET Vancouver, British Columbia",https://www.kijiji.ca/v-apartments-condos/vancouver/1702-777-richards-street-vancouver-british-columbia/1738717872,Kijiji.ca,N/A,N/A,N/A,2026-06-07,2026-06-07,active,"777 RICHARDS STREET, Vancouver, BC, V6B0M6",777 RICHARDS STREET,Vancouver,Vancouver,BC,2995,1,1,N/A,N/A,N/A,"All things you don&apos;t want to miss with this PRIVATE &amp; QUIET 1 BEDROOM + DEN:#1 LOCATION. shopping, entertainment, restaurants &amp; coffee shops close by, with easy access to Skytrain station within easy ...",N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,1738717872,f6b464c943ac20336d20be26b863a8d4,N/A,N/A,N/A,N/A,N/A,N/A,1
